id	date	owner_id	from_id	likes	reposts
3610	1389787561	-47535294	194378745	38	8
3609	1389773385	-47535294	709327473	87	12
3606	1389704939	-47535294	10731911	34	8
3604	1389613877	-47535294	194378745	61	11
3603	1389609253	-47535294	709327473	42	8
3602	1389600724	-47535294	10731911	46	9
3601	1389598470	-47535294	709327473	26	11
3599	1389589968	-47535294	709327473	18	7
3594	1389426055	-47535294	10731911	43	8
3592	1389378380	-47535294	709327473	57	9
3591	1389373841	-47535294	589940631	19	6
3590	1389345060	-47535294	709327473	36	7
3589	1389337149	-47535294	194378745	33	8
3588	1389254814	-47535294	194378745	38	7
3587	1389246853	-47535294	709327473	31	3
3585	1389189133	-47535294	589940631	13	5
3583	1389113745	-47535294	194378745	42	6
3578	1388658289	-47535294	194378745	17	9
3574	1388498988	-47535294	709327473	28	4
3573	1388494084	-47535294	709327473	83	11
3571	1388489496	-47535294	709327473	24	3
3570	1388479260	-47535294	194378745	30	3
3569	1388419332	-47535294	194378745	18	2
3567	1388405124	-47535294	709327473	58	15
3565	1388386495	-47535294	709327473	12	0
3564	1388381165	-47535294	194378745	15	1
3563	1388380620	-47535294	589940631	11	3
3562	1388380601	-47535294	140469320	14	2
3561	1388380554	-47535294	589940631	20	7
3559	1388329973	-47535294	589940631	7	0
3556	1388241475	-47535294	194378745	9	3
3553	1388174040	-47535294	589940631	7	0
3552	1388152543	-47535294	589940631	2	0
3551	1388150455	-47535294	589940631	9	1
3550	1388149077	-47535294	589940631	3	1
3549	1388148741	-47535294	194378745	3	0
3548	1388147714	-47535294	-47535294	24	4
3547	1388147348	-47535294	-47535294	54	13
3545	1388143938	-47535294	709327473	5	1
3542	1388142250	-47535294	589940631	5	0
3541	1388134520	-47535294	589940631	16	2
3540	1388110345	-47535294	709327473	6	1
3539	1388072084	-47535294	589940631	9	1
3538	1388065570	-47535294	709327473	2	2
3537	1388064035	-47535294	709327473	0	0
3536	1388048094	-47535294	589940631	1	1
3535	1388047468	-47535294	709327473	1	1
3534	1388047082	-47535294	10731911	4	1
3533	1388045724	-47535294	589940631	1	0
3532	1388044480	-47535294	589940631	3	1
3531	1388037245	-47535294	709327473	1	0
3530	1388023424	-47535294	194378745	1	1
3529	1388023395	-47535294	589940631	1	0
3526	1387991809	-47535294	10731911	70	6
3525	1387983299	-47535294	709327473	0	0
3524	1387970160	-47535294	10731911	14	2
3523	1387960577	-47535294	194378745	1	1
3522	1387952821	-47535294	589940631	0	0
3521	1387952748	-47535294	194378745	1	0
3520	1387952270	-47535294	589940631	0	0
3519	1387951487	-47535294	589940631	0	0
3518	1387896840	-47535294	10731911	3	1
3517	1387879948	-47535294	589940631	3	1
3516	1387870255	-47535294	194378745	4	1
3515	1387865269	-47535294	589940631	0	0
3514	1387863007	-47535294	589940631	0	0
3512	1387820113	-47535294	589940631	5	4
3511	1387816572	-47535294	589940631	1	1
3510	1387806624	-47535294	709327473	1	0
3507	1387795340	-47535294	140469320	7	1
3506	1387795332	-47535294	16193803	4	1
3505	1387795314	-47535294	144969351	3	3
3504	1387783123	-47535294	194378745	1	0
3503	1387782068	-47535294	589940631	0	0
3502	1387780315	-47535294	709327473	0	1
3487	1387552469	-47535294	194378745	13	2
3484	1387518264	-47535294	194378745	3	1
3478	1387462242	-47535294	709327473	16	4
3476	1387444955	-47535294	194378745	0	1
3475	1387442240	-47535294	589940631	0	1
3474	1387433880	-47535294	589940631	2	1
3468	1387383210	-47535294	10731911	14	3
3467	1387379112	-47535294	589940631	2	0
3466	1387379037	-47535294	212103515	2	1
3465	1387371817	-47535294	709327473	5	1
3454	1387362527	-47535294	194378745	4	3
3453	1387358663	-47535294	10731911	3	1
3451	1387352187	-47535294	10731911	7	1
3450	1387350229	-47535294	709327473	1	0
3440	1387279785	-47535294	709327473	40	11
3439	1387277081	-47535294	589940631	2	0
3438	1387264488	-47535294	194378745	15	4
3437	1387260294	-47535294	709327473	2	0
3430	1387215081	-47535294	589940631	2	1
3429	1387212704	-47535294	709327473	5	1
3428	1387212625	-47535294	201169700	6	2
3422	1387181287	-47535294	194378745	3	2
3420	1387166965	-47535294	194378745	8	1
3418	1387166821	-47535294	8837661	3	1
3414	1387132297	-47535294	194378745	17	4
3407	1386947852	-47535294	98659775	9	5
3405	1386945672	-47535294	589940631	18	3
3403	1386932085	-47535294	709327473	6	2
3402	1386929657	-47535294	709327473	1	0
3400	1386921870	-47535294	709327473	27	1
3399	1386920740	-47535294	589940631	0	0
3397	1386919549	-47535294	709327473	0	0
3396	1386917023	-47535294	194378745	5	2
3395	1386916095	-47535294	709327473	3	2
3394	1386910464	-47535294	194378745	0	1
3393	1386910046	-47535294	194378745	6	0
3392	1386905991	-47535294	194378745	3	1
3389	1386853407	-47535294	709327473	2	2
3388	1386852846	-47535294	589940631	2	0
3387	1386851609	-47535294	194378745	0	0
3386	1386850611	-47535294	589940631	6	2
3385	1386848892	-47535294	194378745	7	3
3384	1386842738	-47535294	10731911	5	1
3383	1386840029	-47535294	194378745	4	2
3382	1386840004	-47535294	589940631	1	0
3381	1386836333	-47535294	589940631	1	0
3380	1386836228	-47535294	194378745	1	0
3379	1386835810	-47535294	589940631	0	0
3374	1386832236	-47535294	589940631	10	5
3373	1386829646	-47535294	10731911	10	1
3372	1386824081	-47535294	589940631	0	1
3371	1386773297	-47535294	709327473	4	1
3370	1386773188	-47535294	709327473	1	0
3369	1386772593	-47535294	589940631	0	0
3368	1386771820	-47535294	194378745	5	1
3367	1386771403	-47535294	709327473	0	1
3366	1386760264	-47535294	709327473	2	0
3365	1386754200	-47535294	709327473	5	0
3364	1386753449	-47535294	589940631	1	0
3363	1386747450	-47535294	194378745	3	0
3362	1386743659	-47535294	194378745	1	0
3361	1386742750	-47535294	709327473	0	0
3360	1386694476	-47535294	709327473	4	0
3359	1386694412	-47535294	589940631	0	1
3357	1386687286	-47535294	709327473	1	0
3355	1386683917	-47535294	589940631	8	4
3352	1386675095	-47535294	589940631	7	1
3350	1386669900	-47535294	194378745	1	0
3347	1386658629	-47535294	709327473	0	0
3345	1386590634	-47535294	709327473	3	0
3344	1386590626	-47535294	194378745	1	0
3343	1386584284	-47535294	709327473	4	0
3342	1386584202	-47535294	709327473	0	0
3341	1386573666	-47535294	709327473	1	1
3340	1386573023	-47535294	709327473	0	0
3339	1386570709	-47535294	589940631	1	0
3338	1386570029	-47535294	709327473	0	0
3337	1386568595	-47535294	709327473	0	0
3336	1386528604	-47535294	194378745	6	1
3335	1386528594	-47535294	589940631	1	0
3333	1386504237	-47535294	194378745	0	1
3332	1386502394	-47535294	10731911	1	0
3331	1386487710	-47535294	194378745	2	0
3330	1386432840	-47535294	194378745	1	0
3329	1386416670	-47535294	194378745	5	1
3328	1386347901	-47535294	194378745	1	2
3327	1386340929	-47535294	23401197	3	0
3326	1386338932	-47535294	194378745	3	0
3325	1386326414	-47535294	709327473	10	3
3323	1386310411	-47535294	709327473	0	0
3322	1386269332	-47535294	709327473	7	0
3320	1386258910	-47535294	589940631	4	2
3319	1386245391	-47535294	194378745	3	0
3318	1386245037	-47535294	589940631	0	0
3317	1386245025	-47535294	194378745	2	0
3316	1386244932	-47535294	194378745	0	0
3314	1386229169	-47535294	194378745	0	0
3313	1386227508	-47535294	589940631	1	1
3312	1386226830	-47535294	194378745	0	0
3311	1386224319	-47535294	194378745	15	0
3310	1386193074	-47535294	589940631	8	0
3309	1386176174	-47535294	709327473	4	0
3308	1386174724	-47535294	589940631	0	1
3306	1386161058	-47535294	201169700	5	1
3305	1386161034	-47535294	23401197	3	1
3304	1386160439	-47535294	589940631	5	1
3300	1386141831	-47535294	194378745	3	4
3299	1386138584	-47535294	709327473	1	2
3298	1386135695	-47535294	709327473	2	1
3296	1386093157	-47535294	589940631	7	2
3295	1386092652	-47535294	709327473	1	1
3294	1386086505	-47535294	589940631	5	0
3293	1386086453	-47535294	589940631	0	0
3292	1386081320	-47535294	194378745	2	1
3291	1386081076	-47535294	194378745	0	0
3290	1386081064	-47535294	709327473	0	0
3289	1386079156	-47535294	709327473	1	1
3288	1386078864	-47535294	194378745	5	0
3287	1386070521	-47535294	709327473	1	2
3286	1386069093	-47535294	709327473	1	0
3285	1386058609	-47535294	589940631	2	0
3284	1386056512	-47535294	589940631	0	0
3283	1386056464	-47535294	194378745	0	0
3281	1386052532	-47535294	194378745	2	1
3280	1386051645	-47535294	194378745	1	1
3279	1386051290	-47535294	589940631	0	0
3278	1386049513	-47535294	709327473	0	0
3277	1386012790	-47535294	10731911	2	0
3275	1386010392	-47535294	10731911	2	0
3271	1386006780	-47535294	10731911	4	0
3268	1385995600	-47535294	709327473	2	1
